ENSPEMP00000017194.2_g1_s2_i1	ENSPEMP00000017194.2_g1
ENSPEMP00000031407.1_g1_s2_i1	ENSPEMP00000031407.1_g1
ENSPEMP00000032369.1_g1_s2_i1	ENSPEMP00000032369.1_g1
ENSPEMP00000029988.1_g1_s2_i1	ENSPEMP00000029988.1_g1
ENSPEMP00000020824.1_g1_s2_i1	ENSPEMP00000020824.1_g1
ENSPEMP00000016414.1_g1_s2_i1	ENSPEMP00000016414.1_g1
ENSPEMP00000034016.1_g1_s2_i1	ENSPEMP00000034016.1_g1
ENSPEMP00000037278.1_g1_s2_i1	ENSPEMP00000037278.1_g1
ENSPEMP00000032961.1_g1_s2_i1	ENSPEMP00000032961.1_g1
ENSPEMP00000009223.1_g1_s2_i1	ENSPEMP00000009223.1_g1
ENSPEMP00000032369.1_g1_s2_i2	ENSPEMP00000032369.1_g1
ENSPEMP00000006678.1_g1_s2_i1	ENSPEMP00000006678.1_g1
ENSPEMP00000036697.1_g1_s2_i1	ENSPEMP00000036697.1_g1
ENSPEMP00000010461.2_g1_s2_i1	ENSPEMP00000010461.2_g1
ENSPEMP00000036127.1_g1_s2_i1	ENSPEMP00000036127.1_g1
ENSPEMP00000033449.1_g1_s2_i1	ENSPEMP00000033449.1_g1
ENSPEMP00000034875.1_g1_s2_i1	ENSPEMP00000034875.1_g1
ENSPEMP00000033251.1_g1_s2_i1	ENSPEMP00000033251.1_g1
ENSPEMP00000024194.1_g1_s2_i1	ENSPEMP00000024194.1_g1
ENSPEMP00000032358.1_g1_s2_i1	ENSPEMP00000032358.1_g1
ENSPEMP00000029324.1_g1_s2_i1	ENSPEMP00000029324.1_g1
ENSPEMP00000001862.1_g1_s2_i1	ENSPEMP00000001862.1_g1
ENSPEMP00000004398.2_g1_s2_i1	ENSPEMP00000004398.2_g1
ENSPEMP00000035957.1_g1_s2_i1	ENSPEMP00000035957.1_g1
ENSPEMP00000033887.1_g1_s2_i1	ENSPEMP00000033887.1_g1
ENSPEMP00000031032.1_g1_s2_i1	ENSPEMP00000031032.1_g1
ENSPEMP00000036056.1_g1_s2_i1	ENSPEMP00000036056.1_g1
ENSPEMP00000008752.2_g1_s2_i1	ENSPEMP00000008752.2_g1
ENSPEMP00000007531.1_g1_s2_i1	ENSPEMP00000007531.1_g1
ENSPEMP00000019340.1_g1_s2_i1	ENSPEMP00000019340.1_g1
ENSPEMP00000035565.1_g1_s2_i1	ENSPEMP00000035565.1_g1
ENSPEMP00000010105.2_g1_s2_i1	ENSPEMP00000010105.2_g1
ENSPEMP00000027960.2_g1_s2_i1	ENSPEMP00000027960.2_g1
ENSPEMP00000027941.2_g1_s2_i1	ENSPEMP00000027941.2_g1
ENSPEMP00000024426.1_g1_s2_i1	ENSPEMP00000024426.1_g1
ENSPEMP00000010186.2_g1_s2_i1	ENSPEMP00000010186.2_g1
ENSPEMP00000035957.1_g1_s2_i2	ENSPEMP00000035957.1_g1
ENSPEMP00000032369.1_g1_s2_i3	ENSPEMP00000032369.1_g1
ENSPEMP00000003017.1_g1_s2_i1	ENSPEMP00000003017.1_g1
ENSPEMP00000022079.1_g1_s2_i1	ENSPEMP00000022079.1_g1
ENSPEMP00000031632.1_g1_s2_i1	ENSPEMP00000031632.1_g1
ENSPEMP00000010105.2_g1_s2_i2	ENSPEMP00000010105.2_g1
ENSPEMP00000036741.1_g1_s2_i1	ENSPEMP00000036741.1_g1
ENSPEMP00000037228.1_g1_s2_i1	ENSPEMP00000037228.1_g1
ENSPEMP00000036774.1_g1_s2_i1	ENSPEMP00000036774.1_g1
ENSPEMP00000026232.2_g1_s2_i1	ENSPEMP00000026232.2_g1
ENSPEMP00000032358.1_g1_s2_i2	ENSPEMP00000032358.1_g1
ENSPEMP00000010301.2_g1_s2_i1	ENSPEMP00000010301.2_g1
ENSPEMP00000037278.1_g1_s2_i2	ENSPEMP00000037278.1_g1
ENSPEMP00000029646.1_g1_s2_i1	ENSPEMP00000029646.1_g1
ENSPEMP00000027941.2_g1_s2_i2	ENSPEMP00000027941.2_g1
ENSPEMP00000003017.1_g1_s2_i2	ENSPEMP00000003017.1_g1
ENSPEMP00000028516.1_g1_s2_i1	ENSPEMP00000028516.1_g1
ENSPEMP00000022770.1_g1_s2_i1	ENSPEMP00000022770.1_g1
ENSPEMP00000011261.1_g1_s2_i1	ENSPEMP00000011261.1_g1
